nstep,cmt_img,colors
2,arsalidou_images_png/2n_1.png,"[(255, 165, 0, 255), (255, 165, 0, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 165, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_2.png,"[(255, 255, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (0, 0, 255, 255), (0, 0, 255, 255)]"
2,arsalidou_images_png/2n_3.png,"[(0, 255, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (255, 165, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 255, 0, 255), (255, 255, 0, 255)]"
2,arsalidou_images_png/2n_4.png,"[(0, 0, 255, 255), (255, 255, 0, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 0, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_5.png,"[(0, 255, 0, 255), (255, 0, 255, 255), (0, 255, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (255, 0, 255, 255), (128, 0, 128, 255), (128, 0, 128, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_6.png,"[(0, 0, 255, 255), (0, 0, 255, 255), (255, 0, 255, 255), (0, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_7.png,"[(255, 0, 255, 255), (0, 255, 0, 255), (0, 0, 255, 255), (128, 0, 128, 255), (128, 0, 128, 255), (255, 0, 255, 255), (128, 0, 128, 255), (255, 0, 255, 255), (128, 0, 128, 255)]"
2,arsalidou_images_png/2n_8.png,"[(0, 255, 0, 255), (255, 255, 0, 255), (255, 0, 255, 255), (0, 0, 255, 255), (255, 0, 255, 255), (0, 0, 255, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 255, 0, 255)]"
2,arsalidou_images_png/2n_9.png,"[(255, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (0, 0, 255, 255), (255, 255, 0, 255)]"
2,arsalidou_images_png/2n_10.png,"[(0, 0, 255, 255), (255, 255, 0, 255), (0, 255, 0, 255), (255, 255, 0, 255), (255, 165, 0, 255), (255, 255, 0, 255), (255, 165, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255)]"
2,arsalidou_images_png/2n_11.png,"[(255, 0, 0, 255), (255, 0, 0, 255), (128, 0, 128, 255), (128, 0, 128, 255), (255, 0, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_12.png,"[(0, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 165, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 0, 255, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_13.png,"[(0, 0, 255, 255), (255, 255, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (255, 0, 255, 255), (255, 0, 255, 255), (255, 0, 255, 255), (0, 255, 0, 255), (255, 255, 0, 255)]"
2,arsalidou_images_png/2n_14.png,"[(128, 0, 128, 255), (255, 255, 0, 255), (128, 0, 128, 255), (128, 0, 128, 255), (0, 0, 255, 255), (0, 255, 0, 255), (128, 0, 128, 255), (255, 255, 0, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_15.png,"[(255, 165, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (255, 165, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255), (255, 165, 0, 255), (255, 165, 0, 255)]"
2,arsalidou_images_png/2n_16.png,"[(255, 0, 255, 255), (128, 0, 128, 255), (128, 0, 128, 255), (0, 0, 255, 255), (255, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 0, 255, 255), (255, 0, 255, 255)]"
2,arsalidou_images_png/2n_17.png,"[(128, 0, 128, 255), (0, 255, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (128, 0, 128, 255), (255, 0, 0, 255), (128, 0, 128, 255), (0, 255, 0, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_18.png,"[(0, 0, 255, 255), (255, 165, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 0, 255, 255), (255, 165, 0, 255), (255, 0, 255, 255), (255, 165, 0, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_19.png,"[(0, 0, 255, 255), (255, 0, 255, 255), (255, 0, 255, 255), (0, 255, 0, 255), (255, 0, 255, 255), (0, 255, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 165, 0, 255)]"
2,arsalidou_images_png/2n_20.png,"[(0, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255)]"
2,arsalidou_images_png/2n_21.png,"[(255, 165, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (255, 165, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (255, 165, 0, 255)]"
2,arsalidou_images_png/2n_22.png,"[(0, 0, 255, 255), (255, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 0, 255, 255), (0, 0, 255, 255), (255, 0, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_23.png,"[(0, 0, 255, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 0, 255, 255), (255, 0, 255, 255), (255, 0, 255, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 255, 0, 255)]"
2,arsalidou_images_png/2n_24.png,"[(255, 255, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255)]"
2,arsalidou_images_png/2n_25.png,"[(255, 165, 0, 255), (255, 165, 0, 255), (255, 165, 0, 255), (0, 0, 255, 255), (0, 0, 255, 255), (255, 165, 0, 255), (0, 255, 0, 255), (128, 0, 128, 255), (0, 255, 0, 255)]"
2,arsalidou_images_png/2n_26.png,"[(255, 0, 0, 255), (0, 0, 255, 255), (128, 0, 128, 255), (0, 255, 0, 255), (128, 0, 128, 255), (0, 0, 255, 255), (128, 0, 128, 255), (0, 0, 255, 255), (128, 0, 128, 255)]"
2,arsalidou_images_png/2n_27.png,"[(255, 0, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255), (128, 0, 128, 255), (128, 0, 128, 255), (0, 0, 255, 255), (255, 0, 0, 255), (128, 0, 128, 255)]"
2,arsalidou_images_png/2n_28.png,"[(0, 255, 0, 255), (255, 165, 0, 255), (255, 255, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 165, 0, 255), (255, 255, 0, 255), (255, 255, 0, 255)]"
2,arsalidou_images_png/2n_29.png,"[(0, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255), (255, 255, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255)]"
2,arsalidou_images_png/2n_30.png,"[(255, 0, 255, 255), (255, 0, 255, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (255, 0, 255, 255), (255, 0, 0, 255)]"
