training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,arsal_train.thisRepN,arsal_train.thisTrialN,arsal_train.thisN,arsal_train.thisIndex,arsal_s2.thisRepN,arsal_s2.thisTrialN,arsal_s2.thisN,arsal_s2.thisIndex,arsal_s3.thisRepN,arsal_s3.thisTrialN,arsal_s3.thisN,arsal_s3.thisIndex,arsal_s4.thisRepN,arsal_s4.thisTrialN,arsal_s4.thisN,arsal_s4.thisIndex,blank.started,blank.stopped,matrix_resp.started,sequence,repeat_idx,matrix_resp.keys,matrix_resp.rt,trainconf.keys,trainconf.rt,matrix_resp_2.started,matrix_resp_2.keys,matrix_resp_2.rt,matrix_resp_3.started,matrix_resp_3.keys,matrix_resp_3.rt,byebye_text.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,34.90903710015118,35.45903680007905,35.45903680007905,"[[(1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1)], [(-1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1)], [(1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1)], [(-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1)], [(-1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)], [(1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1)]]",2,"['left', 'left', 'right', 'left', 'right', 'left', 'left']","[3.6701428992673755, 6.812445399351418, 9.796105599496514, 12.670342599507421, 16.385092799551785, 19.11132809938863, 22.528715099208057]",,,,,,,,,,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
0,0,0,0,,,,,,,,,,,,,,,,,59.43900990020484,,,,,,,['y'],[1.7655561994761229],,,,,,,,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,0,0,0,0,,,,,,,,,62.62198540009558,63.15502260020003,63.15502260020003,"[[(1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1)], [(1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1)], [(1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, -1), (-1, -1, 1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -1, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1)], [(1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -1, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1)]]",4,"['left', 'right', 'left', 'right', 'left', 'left', 'right']","[3.942284799646586, 7.992259499616921, 10.278189799748361, 12.868340399581939, 15.826476999558508, 19.39585409965366, 21.953073099721223]",,,,,,,,,,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,1,0,1,0,,,,,,,,,87.13485000003129,,87.66834329999983,"[[(-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1)], [(1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1)], [(1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1)]]",3,"['left', 'left', 'left', 'left', 'left', 'left', 'right']","[3.8931920994073153, 7.609479599632323, 9.881770399399102, 12.915915199555457, 17.034938499331474, 20.006315699312836, 22.24863309925422]",,,,,,,,,,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,2,0,2,0,,,,,,,,,111.63153210002929,,112.16494669998065,"[[(1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1)], [(-1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1)], [(1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1)]]",1,"['left', 'left', 'left', 'left', 'left', 'left', 'right']","[3.881470199674368, 7.208342699799687, 10.51781959971413, 13.258148399647325, 16.2570755998604, 19.507278199773282, 22.353909499477595]",,,,,,,,,,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,,,,,0,0,0,0,,,,,136.14468170003965,,,"[[(1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 0.5, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1)], [(1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 0.5, -1)], [(1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (1, -1, -1)], [(1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1)], [(1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1)], [(1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 0.5, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1)], [(1, -1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1)], [(1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1)]]",3,,,,,136.66134960018098,"['left', 'left', 'left', 'left', 'left', 'right', 'left']","[4.6817046999931335, 7.491913099773228, 10.211144499946386, 12.926853799726814, 16.033119699917734, 19.137415799777955, 22.134327800013125]",,,,,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,,,,,1,0,1,0,,,,,160.62467849999666,,,"[[(1, 0.5, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 0.5, -1)], [(1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1)], [(1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (-1, -1, 1)], [(-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (1, 0.5, -1)], [(1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 0.5, -1)], [(1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1)], [(1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1)]]",1,,,,,161.157963400241,"['left', 'right', 'left', 'right', 'right', 'left', 'left']","[4.24663499975577, 8.099081499502063, 10.966695899609476, 13.084142199717462, 16.905189899727702, 19.34921809984371, 22.642521199770272]",,,,,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,,,,,2,0,2,0,,,,,185.15447750035673,,,"[[(1, 0.5, -1), (-1, -1, 1), (1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, -1), (-1, -1, 1)], [(-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, 0.5, -1), (1, -1, 1)], [(-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1)], [(1, -1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)]]",2,,,,,185.67122320039198,"['left', 'left', 'left', 'right', 'left', 'left', 'left']","[4.435734799597412, 6.920485399663448, 9.91166239976883, 13.469747599679977, 16.11328999977559, 19.3863752996549, 23.039645199663937]",,,,,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,,,,,,,,,0,0,0,0,209.65113950008526,,,"[[(1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1)], [(-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(1, -1, 1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1)], [(1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1)], [(1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1)], [(1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1)], [(1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1)], [(1, -1, 1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1)]]",2,,,,,,,,210.16773530002683,"['left', 'left', 'left', 'right', 'right', 'left', 'left']","[4.396116599906236, 7.505283799953759, 11.29049659986049, 13.917458099778742, 16.139848299790174, 19.028100499883294, 21.754413299728185]",,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,,,,,,,,,1,0,1,0,234.14779040031135,,,"[[(1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (-1, -1, 1)], [(-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1)], [(1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1)], [(1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, 0.5, -1), (1, 1, -1), (1, -1, -1)], [(1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, 1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, 1, -1)], [(1, -1, 1), (1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1)], [(1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1)]]",2,,,,,,,,234.66447210032493,"['left', 'left', 'left', 'right', 'left', 'left', 'right']","[3.961448099464178, 6.847693799529225, 9.79595649940893, 12.7274214993231, 16.05968099925667, 18.759116999339312, 21.83235009945929]",,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,,,,,,,,,2,0,2,0,258.64427370019257,,,"[[(-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, 0.5, -1)], [(1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 0.5, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, 1, -1), (1, -1, -1), (1, 0.5, -1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1)], [(1, 0.5, -1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1)], [(1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 0.5, -1), (-1, -1, 1)], [(1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, -1)], [(1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1)]]",1,,,,,,,,259.1608335999772,"['left', 'left', 'left', 'right', 'right', 'left', 'left']","[4.355962599627674, 7.4243592992424965, 10.142904699314386, 13.26453989930451, 15.684786499477923, 18.906168699264526, 21.59623539960012]",,FID,001,2026-04-24_08h39.19.095,CMT,2023.1.0,59.92961873379263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.12399640027434,,,,,,,
