clr1p1,clr2p1,clr3p1,clr4p1,clr1p2,clr2p2,clr3p2,clr4p2,Hshow,Htest,stim_var,blank_clr,difficulty,answ,l_test,r_test,realclr2,realclr3,realclr,fake_hue,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CC_resp_2.keys,CC_resp_2.corr,CC_resp_2.rt,CC_resp.keys,CC_resp.corr,CC_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
#00897B,#004D40,#E0F2F1,#4DB6AC,#3949AB,#1A237E,#000000,#7986CB,lime,indigo,l_rand1,clr3,low,left,#E8EAF6,#9FA8DA,#1A237E,#E8EAF6,#E8EAF6,indigo,0,0,0,29,,,,,left,1,0.5982174002565444,,,,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3E2723,#EFEBE9,#6D4C41,#A1887F,#0D47A1,#E3F2FD,#000000,#64B5F6,brown,blue,l_rand2,clr3,none,right,#5E35B1,#1E88E5,#E3F2FD,#1E88E5,#1E88E5,d_purple,0,1,1,87,,,,,right,1,0.5585736003704369,,,,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#33691E,#F1F8E9,#7CB342,#AED581,#0D47A1,#E3F2FD,#000000,#64B5F6,l_green,blue,l_rand2,clr3,low,left,#1E88E5,#42A5F5,#E3F2FD,#1E88E5,#1E88E5,blue,0,2,2,45,,,,,left,1,0.9934402001090348,,,,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E65100,#FB8C00,#FFB74D,#FFF3E0,#0D47A1,#1E88E5,#000000,#E3F2FD,orange,blue,l_up,clr3,high,left,#64B5F6,#42A5F5,#1E88E5,#64B5F6,#64B5F6,blue,0,3,3,56,,,,,right,0,0.8421543003059924,,,,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E65100,#FB8C00,#FFB74D,#FFF3E0,#0D47A1,#1E88E5,#000000,#E3F2FD,orange,blue,l_up,clr3,high,left,#64B5F6,#42A5F5,#1E88E5,#64B5F6,#64B5F6,blue,,,,,0,0,0,56,,,,right,0,1.3293237006291747,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1A237E,#E8EAF6,#3949AB,#7986CB,#01579B,#E1F5FE,#000000,#4FC3F7,indigo,l_blue,l_rand2,clr3,none,right,#00897B,#039BE5,#E1F5FE,#039BE5,#039BE5,teal,,,,,0,1,1,85,,,,right,1,1.4588368004187942,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#D81B60,#880E4F,#FCE4EC,#F06292,#FDD835,#F57F17,#000000,#FFF176,pink,yellow,l_rand1,clr3,high,right,#FFF9C4,#FFFDE7,#F57F17,#FFFDE7,#FFFDE7,yellow,,,,,0,2,2,24,,,,right,1,1.883817800320685,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3949AB,#1A237E,#E8EAF6,#7986CB,#7CB342,#000000,#F1F8E9,#AED581,indigo,l_green,l_rand1,clr2,high,left,#33691E,#558B2F,#33691E,#F1F8E9,#33691E,l_green,,,,,0,3,3,19,,,,left,1,0.9995004003867507,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3949AB,#1A237E,#E8EAF6,#7986CB,#7CB342,#000000,#F1F8E9,#AED581,indigo,l_green,l_rand1,clr2,none,left,#33691E,#004D40,#33691E,#F1F8E9,#33691E,teal,,,,,0,4,4,75,,,,left,1,1.6249508005566895,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#43A047,#1B5E20,#E8F5E9,#81C784,#00ACC1,#006064,#000000,#4DD0E1,green,cyan,l_rand1,clr3,low,left,#E0F7FA,#80DEEA,#006064,#E0F7FA,#E0F7FA,cyan,,,,,0,5,5,31,,,,left,1,0.8630430004559457,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFFDE7,#FFF176,#FDD835,#F57F17,#E0F7FA,#4DD0E1,#000000,#006064,yellow,cyan,l_down,clr3,none,left,#00ACC1,#1E88E5,#4DD0E1,#00ACC1,#00ACC1,blue,,,,,0,6,6,70,,,,left,1,1.426676600240171,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1B5E20,#43A047,#81C784,#E8F5E9,#004D40,#000000,#4DB6AC,#E0F2F1,green,lime,l_up,clr2,high,right,#00796B,#00897B,#00897B,#4DB6AC,#00897B,lime,,,,,0,7,7,52,,,,right,1,0.6765156001783907,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#880E4F,#FCE4EC,#D81B60,#F06292,#33691E,#000000,#7CB342,#AED581,pink,l_green,l_rand2,clr2,none,left,#F1F8E9,#FFFDE7,#F1F8E9,#7CB342,#F1F8E9,yellow,,,,,0,8,8,80,,,,right,0,0.8262100000865757,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E65100,#FB8C00,#FFB74D,#FFF3E0,#0D47A1,#1E88E5,#000000,#E3F2FD,orange,blue,l_up,clr3,none,left,#64B5F6,#4DD0E1,#1E88E5,#64B5F6,#64B5F6,cyan,,,,,0,9,9,93,,,,left,1,0.865335600450635,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E53935,#B71C1C,#FFEBEE,#E57373,#7CB342,#000000,#F1F8E9,#AED581,red,l_green,l_rand1,clr2,low,right,#689F38,#33691E,#33691E,#F1F8E9,#33691E,l_green,,,,,0,10,10,20,,,,right,1,0.5807537003420293,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#8E24AA,#4A148C,#F3E5F5,#BA68C8,#5E35B1,#000000,#EDE7F6,#9575CD,purple,d_purple,l_rand1,clr2,high,left,#311B92,#4527A0,#311B92,#EDE7F6,#311B92,d_purple,,,,,0,11,11,16,,,,right,0,0.87691880017519,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#33691E,#7CB342,#AED581,#F1F8E9,#880E4F,#000000,#F06292,#FCE4EC,l_green,pink,l_up,clr2,high,left,#D81B60,#E91E63,#D81B60,#F06292,#D81B60,pink,,,,,0,12,12,49,,,,left,1,1.506426200736314,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFF8E1,#FFD54F,#FFB300,#FF6F00,#E8EAF6,#7986CB,#000000,#1A237E,amber,indigo,l_down,clr3,none,right,#039BE5,#3949AB,#7986CB,#3949AB,#3949AB,l_blue,,,,,0,13,13,71,,,,right,1,1.2295358004048467,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E0F2F1,#4DB6AC,#00897B,#004D40,#FBE9E7,#000000,#F4511E,#BF360C,lime,d_orange,l_down,clr2,low,right,#FF5722,#FF8A65,#FF8A65,#F4511E,#FF8A65,d_orange,,,,,0,14,14,7,,,,right,1,1.2134100003167987,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFFDE7,#FFF176,#FDD835,#F57F17,#E0F7FA,#4DD0E1,#000000,#006064,yellow,cyan,l_down,clr3,high,left,#00ACC1,#00BCD4,#4DD0E1,#00ACC1,#00ACC1,cyan,,,,,0,15,15,9,,,,right,0,1.5920971003361046,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1E88E5,#0D47A1,#E3F2FD,#64B5F6,#C0CA33,#827717,#000000,#DCE775,blue,lime,l_rand1,clr3,high,right,#F0F4C3,#F9FBE7,#827717,#F9FBE7,#F9FBE7,lime,,,,,0,16,16,25,,,,right,1,2.0291851004585624,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#4A148C,#8E24AA,#BA68C8,#F3E5F5,#0D47A1,#000000,#64B5F6,#E3F2FD,purple,blue,l_up,clr2,none,left,#1E88E5,#00ACC1,#1E88E5,#64B5F6,#1E88E5,cyan,,,,,0,17,17,88,,,,right,0,1.581013800110668,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FF6F00,#FFF8E1,#FFB300,#FFD54F,#880E4F,#000000,#D81B60,#F06292,amber,pink,l_rand2,clr2,high,left,#FCE4EC,#F8BBD0,#FCE4EC,#D81B60,#FCE4EC,pink,,,,,0,18,18,34,,,,left,1,0.7311866004019976,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#F57F17,#FDD835,#FFF176,#FFFDE7,#33691E,#7CB342,#000000,#F1F8E9,yellow,l_green,l_up,clr3,low,left,#AED581,#DCEDC8,#7CB342,#AED581,#AED581,l_green,,,,,0,19,19,60,,,,left,1,0.7088095005601645,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3E2723,#EFEBE9,#6D4C41,#A1887F,#0D47A1,#E3F2FD,#000000,#64B5F6,brown,blue,l_rand2,clr3,none,right,#5E35B1,#1E88E5,#E3F2FD,#1E88E5,#1E88E5,d_purple,,,,,0,20,20,87,,,,right,1,0.5800451999530196,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FCE4EC,#F06292,#D81B60,#880E4F,#FBE9E7,#000000,#F4511E,#BF360C,pink,d_orange,l_down,clr2,none,right,#FFD54F,#FF8A65,#FF8A65,#F4511E,#FF8A65,amber,,,,,0,21,21,67,,,,right,1,1.6802409002557397,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#BF360C,#FBE9E7,#F4511E,#FF8A65,#B71C1C,#000000,#E53935,#E57373,d_orange,red,l_rand2,clr2,low,right,#EF9A9A,#FFEBEE,#FFEBEE,#E53935,#FFEBEE,red,,,,,0,22,22,38,,,,right,1,0.7001074003055692,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#F57F17,#FFFDE7,#FDD835,#FFF176,#BF360C,#FBE9E7,#000000,#FF8A65,yellow,d_orange,l_rand2,clr3,high,right,#FF5722,#F4511E,#FBE9E7,#F4511E,#F4511E,d_orange,,,,,0,23,23,42,,,,left,0,0.8588631004095078,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1A237E,#E8EAF6,#3949AB,#7986CB,#01579B,#E1F5FE,#000000,#4FC3F7,indigo,l_blue,l_rand2,clr3,high,right,#03A9F4,#039BE5,#E1F5FE,#039BE5,#039BE5,l_blue,,,,,0,24,24,40,,,,right,1,0.43487760005518794,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#B71C1C,#FFEBEE,#E53935,#E57373,#E65100,#000000,#FB8C00,#FFB74D,red,orange,l_rand2,clr2,low,right,#FFCC80,#FFF3E0,#FFF3E0,#FB8C00,#FFF3E0,orange,,,,,0,25,25,39,,,,right,1,0.6390868001617491,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#4A148C,#F3E5F5,#8E24AA,#BA68C8,#827717,#F9FBE7,#000000,#DCE775,purple,lime,l_rand2,clr3,low,left,#C0CA33,#D4E157,#F9FBE7,#C0CA33,#C0CA33,lime,,,,,0,26,26,44,,,,right,0,0.758752400521189,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#EDE7F6,#9575CD,#5E35B1,#311B92,#FFF8E1,#000000,#FFB300,#FF6F00,d_purple,amber,l_down,clr2,low,right,#FFC107,#FFD54F,#FFD54F,#FFB300,#FFD54F,amber,,,,,0,27,27,6,,,,right,1,1.430524100549519,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFF3E0,#FFB74D,#FB8C00,#E65100,#FCE4EC,#F06292,#000000,#880E4F,orange,pink,l_down,clr3,low,left,#D81B60,#EC407A,#F06292,#D81B60,#D81B60,pink,,,,,0,28,28,12,,,,right,0,1.0750908004119992,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFB300,#FF6F00,#FFF8E1,#FFD54F,#039BE5,#01579B,#000000,#4FC3F7,amber,l_blue,l_rand1,clr3,high,right,#B3E5FC,#E1F5FE,#01579B,#E1F5FE,#E1F5FE,l_blue,,,,,0,29,29,27,,,,right,1,0.9487301004119217,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#7CB342,#33691E,#F1F8E9,#AED581,#8E24AA,#000000,#F3E5F5,#BA68C8,l_green,purple,l_rand1,clr2,none,left,#4A148C,#B71C1C,#4A148C,#F3E5F5,#4A148C,red,,,,,0,30,30,73,,,,left,1,0.7182059003971517,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#4A148C,#8E24AA,#BA68C8,#F3E5F5,#0D47A1,#000000,#64B5F6,#E3F2FD,purple,blue,l_up,clr2,high,left,#1E88E5,#2196F3,#1E88E5,#64B5F6,#1E88E5,blue,,,,,0,31,31,48,,,,right,0,1.0127721005119383,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#311B92,#5E35B1,#9575CD,#EDE7F6,#880E4F,#000000,#F06292,#FCE4EC,d_purple,pink,l_up,clr2,none,right,#F4511E,#D81B60,#D81B60,#F06292,#D81B60,d_orange,,,,,0,32,32,91,,,,right,1,1.0219508004374802,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#311B92,#EDE7F6,#5E35B1,#9575CD,#B71C1C,#000000,#E53935,#E57373,d_purple,red,l_rand2,clr2,low,right,#EF9A9A,#FFEBEE,#FFEBEE,#E53935,#FFEBEE,red,,,,,0,33,33,36,,,,left,0,0.6807399000972509,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#EFEBE9,#A1887F,#6D4C41,#3E2723,#E8F5E9,#000000,#43A047,#1B5E20,brown,green,l_down,clr2,high,left,#81C784,#A5D6A7,#81C784,#43A047,#81C784,green,,,,,0,34,34,1,,,,right,0,1.1611026003956795,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#43A047,#1B5E20,#E8F5E9,#81C784,#00897B,#004D40,#000000,#4DB6AC,green,teal,l_rand1,clr3,none,right,#E1F5FE,#E0F2F1,#004D40,#E0F2F1,#E0F2F1,l_blue,,,,,0,35,35,78,,,,left,0,0.775914600584656,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3E2723,#6D4C41,#A1887F,#EFEBE9,#006064,#00ACC1,#000000,#E0F7FA,brown,cyan,l_up,clr3,low,left,#4DD0E1,#B2EBF2,#00ACC1,#4DD0E1,#4DD0E1,cyan,,,,,0,36,36,61,,,,right,0,1.026668000034988,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#33691E,#F1F8E9,#7CB342,#AED581,#0D47A1,#E3F2FD,#000000,#64B5F6,l_green,blue,l_rand2,clr3,low,left,#1E88E5,#42A5F5,#E3F2FD,#1E88E5,#1E88E5,blue,,,,,0,37,37,45,,,,left,1,1.211141800507903,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#039BE5,#01579B,#E1F5FE,#4FC3F7,#D81B60,#000000,#FCE4EC,#F06292,l_blue,pink,l_rand1,clr2,high,left,#880E4F,#AD1457,#880E4F,#FCE4EC,#880E4F,pink,,,,,0,38,38,17,,,,left,1,1.007373500149697,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFF8E1,#FFD54F,#FFB300,#FF6F00,#EFEBE9,#A1887F,#000000,#3E2723,amber,brown,l_down,clr3,low,left,#6D4C41,#8D6E63,#A1887F,#6D4C41,#6D4C41,brown,,,,,0,39,39,14,,,,left,1,1.2290603001601994,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#311B92,#5E35B1,#9575CD,#EDE7F6,#880E4F,#000000,#F06292,#FCE4EC,d_purple,pink,l_up,clr2,high,right,#E91E63,#D81B60,#D81B60,#F06292,#D81B60,pink,,,,,0,40,40,51,,,,right,1,0.7078598001971841,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E8F5E9,#81C784,#43A047,#1B5E20,#FFEBEE,#000000,#E53935,#B71C1C,green,red,l_down,clr2,high,right,#EF9A9A,#E57373,#E57373,#E53935,#E57373,red,,,,,0,41,41,4,,,,right,1,0.6951195001602173,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#004D40,#00897B,#4DB6AC,#E0F2F1,#3E2723,#000000,#A1887F,#EFEBE9,teal,brown,l_up,clr2,low,left,#6D4C41,#4E342E,#6D4C41,#A1887F,#6D4C41,brown,,,,,0,42,42,53,,,,right,0,0.8560466999188066,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#F1F8E9,#AED581,#7CB342,#33691E,#FFF3E0,#000000,#FB8C00,#E65100,l_green,orange,l_down,clr2,low,left,#FFB74D,#FFE0B2,#FFB74D,#FB8C00,#FFB74D,orange,,,,,0,43,43,5,,,,left,1,0.5714916000142694,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FB8C00,#E65100,#FFF3E0,#FFB74D,#FDD835,#000000,#FFFDE7,#FFF176,orange,yellow,l_rand1,clr2,none,left,#F57F17,#33691E,#F57F17,#FFFDE7,#F57F17,l_green,,,,,0,44,44,74,,,,left,1,0.771698800381273,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
