sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate
[(0, 1), (0, 2), (1, 2), (0, 2), (2, 2), (1, 1), (2, 2), (2, 2)]	0	0	0	0	0	0	0	414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	220.3637362999143	224.4508614999941	['left', 'right', 'left', 'left', 'right', 'left']	[6.018592300009914, 7.809730700100772, 8.951844300027005, 11.352992300060578, 12.821481200051494, 14.975620500044897]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (1, 2), (1, 2), (2, 1), (1, 2), (2, 0), (0, 0), (0, 2)]	0	0	0	0	0	1	1	659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	241.4274515999714	['right', 'left', 'right', 'left', 'left', 'left']	[5.255033699912019, 7.029141699895263, 9.028227199916728, 10.994303699932061, 12.825518299941905, 14.872602499905042]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 0), (0, 0), (1, 2), (0, 0), (2, 0), (0, 1), (2, 0), (2, 1)]	0	0	0	0	0	2	2	316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	258.42520519997925	['left', 'right', 'left', 'left', 'right', 'left']	[4.6754367999965325, 6.665568299940787, 8.952691299957223, 11.058855499955826, 12.872996799997054, 14.73116610001307]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (0, 2), (0, 2), (2, 1), (0, 2), (0, 2), (2, 1), (1, 0), (2, 0)]	0	0	0	0	NA	NA	NA	NA	0	0	0	253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	275.36053109995555	279.4095049999887	['left', 'left', 'right', 'right', 'left', 'right']	[6.801149400067516, 9.37412380008027, 10.912291100015864, 13.899317000061274, 15.620246600010432, 17.537377000087872]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 1), (1, 2), (1, 1), (2, 1), (0, 1), (2, 0), (1, 0), (1, 0), (2, 0)]	0	0	0	0	NA	NA	NA	NA	0	1	1	288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	298.42353999998886	['left', 'left', 'left', 'left', 'left', 'right']	[7.440006299992092, 9.350553399999626, 11.634596499963664, 13.546715599950403, 15.38264419999905, 16.645755699952133]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 0), (2, 1), (0, 2), (2, 2), (2, 1), (2, 2), (0, 2), (2, 1), (1, 1)]	0	0	0	0	NA	NA	NA	NA	0	2	2	242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	317.42100370000117	['left', 'left', 'left', 'right', 'left', 'left']	[6.845042400062084, 9.134189500007778, 10.89545320009347, 12.772589100059122, 15.164786400040612, 17.88301540003158]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 1), (2, 2), (0, 2), (0, 1), (2, 1), (2, 2), (0, 1), (0, 2), (0, 0), (2, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	336.3642312999582	340.4302832999965	['left', 'right', 'right', 'left', 'left', 'right']	[8.966964000021107, 10.95430340000894, 13.54836749995593, 14.989495599991642, 17.028623100020923, 18.996788199990988]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 0), (2, 0), (1, 1), (1, 1), (0, 1), (2, 0), (0, 1), (1, 1), (0, 0), (1, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	361.4107738999882	['left', 'right', 'left', 'right', 'left', 'right']	[9.0492077000672, 10.894287600065582, 13.24645940004848, 14.952595000038855, 16.886706300079823, 18.970140299992636]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (1, 0), (2, 0), (0, 2), (1, 1), (0, 1), (2, 1), (0, 2), (1, 0), (0, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	382.4245515000075	['left', 'left', 'right', 'left', 'left', 'left']	[8.899040300049819, 11.051196900079958, 13.173823000048287, 14.82993470004294, 17.43335319997277, 19.486494000069797]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	402.3549102999969	y	4.8363315999740735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 1), (0, 2), (0, 0), (0, 2), (0, 0), (0, 2), (2, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	445.36581869993825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	407.22106339992024	448.43198100000154	449.4351266999729	['left', 'right', 'right', 'right', 'left', 'right']	[4.732931199949235, 6.763238099985756, 8.831784699927084, 10.792187999933958, 12.869192499900237, 14.937052999972366]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 1), (2, 2), (0, 1), (2, 0), (2, 0), (2, 0), (2, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	466.4125737999566	['right', 'left', 'left', 'right', 'left', 'right']	[4.765800199937075, 6.644334899960086, 8.981510099954903, 10.787644499912858, 12.941610399982892, 14.851185999927111]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 2), (0, 1), (2, 2), (1, 0), (2, 2), (2, 0), (0, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	483.43047799996566	['right', 'left', 'right', 'left', 'left', 'left']	[5.281282100011595, 6.951388599933125, 8.98086729994975, 10.805218199966475, 13.23449729999993, 15.333223799942061]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 1), (2, 2), (0, 1), (2, 1), (0, 1), (2, 2), (0, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	500.42866330000106	['right', 'left', 'right', 'left', 'right', 'left']	[5.146315000019968, 7.081276800017804, 8.89039039995987, 10.82143469993025, 12.613697899971157, 14.905141399940476]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 2), (1, 1), (2, 2), (1, 0), (2, 2), (2, 2), (1, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	517.4264583999757	['right', 'left', 'right', 'left', 'left', 'left']	[4.748224999988452, 6.61304509988986, 8.473164499970153, 10.810244099935517, 12.765535599901341, 14.830284399911761]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (2, 0), (1, 1), (1, 1), (2, 1), (0, 0), (2, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	534.4370015999302	['left', 'left', 'left', 'left', 'right', 'right']	[4.643484500003979, 6.792959799990058, 8.80215679993853, 10.933750299969688, 12.776744000031613, 14.783431399962865]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (1, 1), (2, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	553.1713221999817	['right', 'left', 'right', 'left', 'right', 'left']	[5.017364699975587, 6.859352499945089, 8.678965299972333, 10.792107799905352, 12.578561099944636, 14.683972099912353]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 2), (1, 2), (2, 1), (2, 1), (2, 1), (0, 2), (2, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	570.1650456999196	['right', 'left', 'right', 'left', 'right', 'left']	[5.167694799951278, 6.866120500024408, 8.656271300045773, 10.59437499998603, 12.575620400020853, 14.682490500039421]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	587.1962478000205	['left', 'right', 'right', 'right', 'left', 'left']	[5.749656299944036, 7.208125100005418, 8.81761429994367, 10.571816199924797, 12.603969099931419, 15.056822499958798]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 1), (2, 1), (0, 2), (2, 1), (0, 1), (2, 1), (2, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	604.1638852999313	['left', 'right', 'left', 'right', 'left', 'left']	[4.741748600034043, 6.683214299962856, 8.75431650003884, 10.633476000046358, 12.68764270003885, 14.802772099967115]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (1, 1), (1, 1), (2, 2), (1, 1), (0, 2), (2, 2), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	621.1618099999614	['left', 'left', 'right', 'left', 'right', 'right']	[5.376541799982078, 6.792590799974278, 8.933851899928413, 10.843908899929374, 12.683045499958098, 15.170290099922568]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 0), (0, 1), (2, 2), (0, 2), (2, 2), (0, 2), (1, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	638.1596470000222	['left', 'left', 'right', 'right', 'left', 'left']	[4.641949800075963, 6.6831129000056535, 8.599069599993527, 10.676189800025895, 12.774289400083944, 14.865535499993712]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
