sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate
[(1, 2), (0, 1), (0, 0), (2, 2), (0, 1), (0, 0), (2, 0), (2, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655.5243296999251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	658.6029788999585	659.5894894999219	['left', 'right', 'right', 'left', 'left', 'left']	[6.659765799995512, 8.656731899944134, 10.647526599932462, 12.8876776000252, 15.282896499964409, 17.619295499986038]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 0), (1, 2), (0, 2), (0, 2), (1, 2), (0, 2), (0, 2), (1, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	678.5999974999577	['left', 'right', 'right', 'left', 'right', 'left']	[6.656998399994336, 8.781990799936466, 10.792267699958757, 12.850347299943678, 15.606618299963884, 17.264067800017074]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 2), (2, 1), (1, 1), (0, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	697.5839535999112	['right', 'right', 'left', 'left', 'left', 'right']	[6.668549100053497, 8.612709900015034, 10.601178499986418, 12.93328580004163, 15.200712200021371, 17.850946000078693]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 2), (1, 2), (0, 2), (2, 2), (1, 1), (2, 0), (1, 0), (0, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	716.577845599968	['right', 'left', 'left', 'left', 'left', 'right']	[6.557919399929233, 8.629025099915452, 10.63708829996176, 12.732263599988073, 15.491513299988583, 17.612539099995047]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (1, 2), (1, 2), (0, 1), (1, 2), (0, 0), (0, 1), (0, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	735.5921967999311	['left', 'right', 'left', 'right', 'left', 'right']	[6.588057699962519, 8.58124059997499, 10.556303399964236, 12.802410300006159, 14.975840299972333, 17.025852599996142]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (1, 2), (0, 2), (2, 2), (0, 2), (0, 2), (1, 2), (0, 2), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	754.5939965000143	['left', 'left', 'right', 'left', 'right', 'left']	[6.55289890000131, 8.617020100005902, 10.571152999997139, 12.756726299994625, 15.095961400074884, 17.094145699986257]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 2), (0, 1), (1, 1), (1, 2), (0, 1), (1, 1), (1, 1), (1, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	775.0407848999603	['left', 'right', 'right', 'left', 'left', 'left']	[6.676926499931142, 8.77484879991971, 10.655963199911639, 12.752081799902953, 14.77420310000889, 16.8844069999177]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 0), (0, 1), (1, 2), (1, 1), (0, 1), (2, 2), (1, 2), (0, 1), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	832.0454042999772	['left', 'right', 'left', 'left', 'right', 'left']	[6.784958700067364, 8.753115400089882, 10.974279100075364, 12.840443000080995, 14.804430200019851, 16.608885599998757]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 1), (0, 1), (2, 0), (1, 1), (0, 0), (2, 0), (0, 0), (0, 0), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	794.0507677999558	['right', 'left', 'right', 'left', 'right', 'left']	[6.669585500028916, 8.623665699968114, 10.728273699991405, 12.638159099966288, 14.72128719999455, 16.823828699998558]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (2, 1), (2, 1), (2, 0), (2, 1), (2, 1), (1, 0), (1, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	870.0426949999528	['left', 'right', 'right', 'left', 'left', 'right']	[6.617760100052692, 8.430119000026025, 10.466263800044544, 12.687859300058335, 15.396066699991934, 17.05618820001837]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 1), (1, 1), (0, 2), (2, 1), (2, 2), (1, 0), (0, 1), (0, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	851.0306291999295	['right', 'left', 'left', 'left', 'right', 'right']	[6.562161099980585, 8.733140300028026, 10.879334199940786, 13.258593800012022, 15.458726899931207, 16.946851199958473]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 1), (2, 0), (2, 0), (1, 0), (2, 1), (1, 0), (1, 0), (1, 0), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	813.0358705999097	['left', 'right', 'left', 'right', 'left', 'left']	[6.546654400066473, 8.875867999973707, 11.691103199962527, 13.473292700015008, 15.076450300053693, 17.168619000003673]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (2, 0), (0, 2), (1, 2), (1, 2), (0, 1), (0, 2), (1, 2), (0, 1), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	351	NA	NA	NA	NA	NA	NA	NA	NA	889.2874614999164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	892.3564530999865	893.3533615999622	['left', 'left', 'right', 'left', 'left', 'right']	[8.617321399971843, 10.629728200030513, 12.866789799998514, 14.871001999941655, 17.08042419992853, 18.914568200008944]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 1), (0, 2), (2, 0), (0, 1), (2, 1), (0, 2), (2, 1), (0, 1), (0, 2), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	914.367260799976	['left', 'right', 'left', 'right', 'left', 'left']	[8.792051499942318, 10.8224880999187, 12.732985399896279, 14.91022309998516, 17.29135239997413, 19.028852199902758]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 0), (0, 2), (2, 1), (2, 0), (1, 0), (0, 1), (1, 0), (2, 0), (2, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	935.3521582999964	['right', 'left', 'left', 'right', 'left', 'left']	[8.647831600042991, 10.520139000029303, 12.781155300093815, 14.68645350006409, 17.260516899987124, 19.765780200017616]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 2), (0, 1), (0, 2), (0, 2), (1, 2), (2, 0), (0, 2), (0, 1), (2, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	956.3616323999596	['left', 'left', 'right', 'left', 'left', 'right']	[8.617421599919908, 10.930445099947974, 12.692627399927005, 14.735733599984087, 17.08110900002066, 19.07428910001181]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 2), (1, 1), (0, 0), (1, 1), (2, 2), (0, 2), (0, 0), (1, 0), (2, 1), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	977.3464752999134	['left', 'right', 'right', 'left', 'left', 'right']	[8.590326100005768, 11.190491700079292, 13.197675200062804, 15.031920999987051, 17.07675130001735, 19.44888040004298]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 2), (2, 2), (2, 0), (1, 2), (2, 0), (0, 0), (2, 0), (1, 2), (1, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	998.3591264999704	['left', 'left', 'right', 'right', 'left', 'left']	[8.590945400064811, 10.769213400082663, 12.693598700105213, 15.049076099996455, 16.844535000040196, 19.19701200001873]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 0), (2, 0), (0, 0), (2, 0), (0, 2), (2, 0), (0, 0), (0, 2), (2, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1041.7371729000006	['left', 'right', 'right', 'left', 'left', 'left']	[8.675850700004958, 10.805036000092514, 12.819444600027055, 15.161342500010505, 17.326631300034933, 18.936755100032315]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 1), (0, 1), (1, 2), (0, 2), (1, 0), (0, 0), (1, 2), (1, 2), (1, 0), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1104.7242584999185	['left', 'left', 'left', 'left', 'right', 'left']	[8.615835599950515, 10.802893499960192, 12.82608320005238, 14.897570800036192, 17.530015700031072, 19.21608240006026]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 1), (0, 2), (1, 1), (0, 1), (0, 1), (1, 2), (2, 1), (2, 0), (1, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1083.7439170000143	['left', 'left', 'right', 'right', 'left', 'left']	[8.756551200058311, 10.731512199970894, 12.740030199987814, 15.088407899951562, 16.866229800041765, 19.059665499953553]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 1), (1, 2), (1, 1), (1, 2), (1, 1), (1, 2), (0, 2), (1, 0), (1, 1), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1020.7564703000244	['right', 'right', 'left', 'left', 'right', 'left']	[8.662452699965797, 10.73181119991932, 12.907219899934717, 14.883075299905613, 16.841457499889657, 18.793644799967296]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (0, 1), (0, 0), (2, 0), (1, 2), (1, 2), (2, 2), (0, 1), (0, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1062.733719700016	['left', 'left', 'right', 'right', 'left', 'left']	[8.612222100025974, 10.68026550009381, 12.720089000067674, 15.03326759999618, 17.286620300030336, 19.350408700061962]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (2, 2), (1, 0), (0, 0), (1, 2), (2, 1), (1, 0), (1, 0), (1, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1125.738186899922	['right', 'left', 'right', 'left', 'right', 'left']	[9.157636899966747, 10.884154299972579, 12.82845809997525, 14.714728599996306, 17.36455699999351, 18.79661349998787]	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
